size,horizon,delta,algorithm,trial,objective,risk,time_s,n,iterations,complete,constrained_pomdp_commit,raostar_commit
5,3,0.2,RAO*,23,8.241031249999999,0.18432793332202302,0.02771119400858879,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,24,8.155624999999999,0.144375,0.0388499180553481,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,24,8.241031249999999,0.18432793332202302,0.03231107699684799,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,25,8.155624999999999,0.144375,0.045091085019521415,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,25,8.241031249999999,0.18432793332202302,0.02990968502126634,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,1,8.155624999999999,0.144375,0.04299517197068781,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,1,8.241031249999999,0.18432793332202302,0.027851132908836007,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,2,8.155624999999999,0.144375,0.03914963093120605,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,2,8.241031249999999,0.18432793332202302,0.02806309494189918,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,3,8.155624999999999,0.144375,0.04114277590997517,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,3,8.241031249999999,0.18432793332202302,0.028204253991134465,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,4,8.155624999999999,0.144375,0.039872501976788044,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,4,8.241031249999999,0.18432793332202302,0.033248389954678714,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,5,8.155624999999999,0.144375,0.0403712879633531,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,5,8.241031249999999,0.18432793332202302,0.028893881011754274,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,6,8.155624999999999,0.144375,0.0396675729425624,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,6,8.241031249999999,0.18432793332202302,0.027963544009253383,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,7,8.155624999999999,0.144375,0.0390207099262625,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,7,8.241031249999999,0.18432793332202302,0.0288552469573915,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,8,8.155624999999999,0.144375,0.03939733898732811,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,8,8.241031249999999,0.18432793332202302,0.02827448199968785,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,9,8.155624999999999,0.144375,0.03934659401420504,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,9,8.241031249999999,0.18432793332202302,0.03236439707688987,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,10,8.155624999999999,0.144375,0.04225278797093779,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,10,8.241031249999999,0.18432793332202302,0.03200470900628716,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,11,8.155624999999999,0.144375,0.041768837021663785,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,11,8.241031249999999,0.18432793332202302,0.030473083956167102,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,12,8.155624999999999,0.144375,0.04023643000982702,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,RAO*,12,8.241031249999999,0.18432793332202302,0.03515580797102302,175,15,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.3,DARP-HILP,13,8.155624999999999,0.144375,0.046653011930175126,172,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
